                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                      1,                0.89249,                 1.1333,                 0.5693,                0.30488,                 0.3128,                0.11591,                 2.3145,                 1.9701,                 2.4812,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0303,                0.89908,                 1.1236,                0.43293,                0.35366,                0.33347,                0.12246,                 2.3467,                 1.9383,                 2.5411,              0.0005546,              0.0005546,              0.0005546
                     75,                0.93958,                0.86742,                 1.1289,                0.51762,                0.35366,                0.33251,                 0.1211,                 2.3854,                 2.0006,                 2.5779,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0499,                 0.8567,                 1.1094,                 0.5357,                0.31707,                0.31279,                0.10677,                 2.4388,                 2.0684,                 2.6566,               0.000515,               0.000515,               0.000515
                     77,                 1.0708,                0.84547,                 1.0867,                0.56615,                0.31707,                0.31236,                 0.1124,                 2.4912,                 2.0961,                 2.7018,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.105,                0.92085,                 1.1733,                0.58793,                0.31325,                0.30494,                 0.1084,                 2.4994,                 2.0836,                 2.6684,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0791,                0.87602,                 1.1507,                0.50552,                0.34146,                0.30384,                0.10226,                 2.5374,                 2.0951,                 2.6682,              0.0004556,              0.0004556,              0.0004556
                     80,                0.97251,                0.82326,                 1.1207,                0.58433,                0.29147,                 0.2945,                0.10662,                 2.5305,                 2.1051,                 2.6201,              0.0004358,              0.0004358,              0.0004358
                     81,                0.97085,                0.81464,                 1.1257,                 0.5241,                0.29552,                0.28672,                0.10196,                 2.4934,                  2.078,                 2.5812,               0.000416,               0.000416,               0.000416
                     82,                0.92556,                0.79688,                 1.1015,                0.46102,                0.30488,                 0.2825,                0.10175,                  2.472,                 2.0869,                 2.5402,              0.0003962,              0.0003962,              0.0003962
                     83,                0.92586,                0.75984,                  1.087,                0.39791,                0.30488,                0.27081,                 0.0975,                 2.4364,                 2.1298,                 2.5113,              0.0003764,              0.0003764,              0.0003764
                     84,                  0.983,                0.86715,                  1.113,                0.37503,                0.34146,                0.26366,                0.08669,                 2.4871,                 2.2564,                 2.5153,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0315,                0.82012,                 1.0929,                0.46431,                0.32927,                0.27309,                0.08856,                 2.4971,                 2.2631,                 2.5375,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.9903,                  0.804,                 1.0846,                 0.4454,                0.31707,                0.26953,                0.08926,                  2.489,                 2.2663,                 2.5303,               0.000317,               0.000317,               0.000317
                     87,                 1.0388,                0.83467,                 1.0905,                0.40097,                0.30488,                0.25497,                0.08654,                 2.5021,                 2.2433,                 2.5448,              0.0002972,              0.0002972,              0.0002972
